Dataset,c1r1,c1r2,c1r3,c1r4,c1r5,c1r6,c1r7,c1r8,c2r1,c2r2,c2r3,c2r4,c2r5,c2r6,c2r7,c2r8,c3r1,c3r2,c3r3,c3r4,c3r5,c3r6,c3r7,c3r8,c4r1,c4r2,c4r3,c4r4,c4r5,c4r6,c4r7,c4r8,c5r1,c5r2,c5r3,c5r4,c5r5,c5r6,c5r7,c5r8,c6r1,c6r2,c6r3,c6r4,c6r5,c6r6,c6r7,c6r8,c7r1,c7r2,c7r3,c7r4,c7r5,c7r6,c7r7,c7r8,c8r1,c8r2,c8r3,c8r4,c8r5,c8r6,c8r7,c8r8
10,0.855218038,0.886101624,0.475898968,0.681263605,0.752143641,0.544391951,0.909475784,1,0.615022926,0.959501894,0.769237901,0.987946958,0.699006267,0.772827381,0.965159541,0.60278496,0.273401988,0.368042365,0.931609034,0.418549061,0.541084455,0.46402721,0.574532043,0.733287418,0.375171343,0.982797898,0.865949299,0.636379703,0.523817656,0.792167751,0.282294157,0.468892857,0.505238202,0.703640154,0.796024688,0.188913147,0.613872218,0.585518387,0.36136465,0.134702483,0.326423211,0.148850602,0.333812947,0.176708085,0.238471836,0.185077858,0.414321509,0.271606386,0.616037953,0.114691766,0.359946651,0.085549334,0.243510213,0.32982973,0.327257645,0.515947922,0.135457457,0.381287583,0.277848442,0.430704761,0.249984091,0.01813791,0.086215788,0.181450721
11,0.942270268,1,0.396685677,0.98386647,0.85550763,1,0.715710147,0.677213378,0.874283295,0.782401797,0.897896036,0.96136471,0.782641043,0.905269661,0.620937616,0.654870207,0.634274451,0.875225803,0.877858518,0.613473133,0.965204242,0.393315078,0.971257776,0.453901348,0.752330387,0.26640574,0.725090232,0.384844154,0.374180971,0.321893505,0.957797175,0.402651307,0.760385597,0.328944276,0.386360278,0.220756845,0.44628191,0.191340157,0.091184356,0.52023236,0.380975643,0.587891541,0.498719027,0.719001236,0.964670455,0.525907633,0.578756367,0.328218771,0.251754763,0.851985852,0.14158817,0.275674463,0.647878124,0.104182533,0.54535353,0.044752313,0.533683149,0.238827465,0.550090916,0.295414455,0.320547097,0.055738728,0.588911734,0
12,1,0.479572457,0.731809711,0.45660062,0.981636975,0.708366502,0.994011859,0.635485057,0.463780158,0.86901049,0.975721748,0.874527741,0.641379713,0.543680739,0.847403311,0.794666765,0.3359296,0.706388761,0.897831963,0.4923401,0.805268147,0.893773092,0.460383156,0.432072753,0.15748247,0.736666713,0.631457814,0.286997971,0.559578909,0.395168099,0.817680741,0.931096346,0.611952521,0.550617527,0.541418496,0.555728256,0.685118368,0.086040175,0.503593708,0.383224789,0.305350159,0.28446591,0.516774908,0.331712426,0.061384485,0.57099863,0.622479015,0.330833066,0.176287966,0.377658488,0.025945918,0.264656641,0.498472193,0.193796618,0.236096103,0.390244723,0.329844113,0,0.055620999,0.233542455,0.628726989,0.177429165,0.06778062,0.076199894
13,0.962237421,0.889976779,0.877874194,0.62813913,0.827802509,0.753142492,0.885273639,0.377206976,0.782879194,0.682571285,0.900679074,0.903715954,0.704407236,0.966090911,0.969022552,0.446176773,0.449829611,0.826444966,0.965904536,0.561716306,0.669814715,0.930395084,0.605931974,0.857789053,0.400997967,0.454373935,0.478100703,0.828864505,0.701762995,0.524172624,0.242390786,0.587689462,0.499978948,0.086384054,0.707415138,0.837837472,0.341552948,0.495926722,0.456295416,0.314039611,0.30957365,0.690634315,0.154145844,0.49908142,0.254614516,0.445298307,0.48071347,0.474468165,0.471373515,0.566725595,0.305918074,0.460359164,0.5798581,0.299881802,0.158985248,0.469749494,0.245365308,0.530174199,0.507034421,0,0.08585088,0,0,0
14,1,0.448528823,0.683826604,0.886740789,0.384841042,0.47148552,0.265905819,0.557112803,0.703001999,0.821772304,0.756205265,0.897483489,0.53919157,0.779368562,0.945891785,0.813744426,0.463291294,0.428135587,0.960100492,0.734451102,0.636978003,0.88408662,0.970421659,0.494855157,0.444316,0.167159188,0.420572423,0.763850259,0.6019235,0.131555652,0.484465298,0.945365689,0.694993286,0.720975595,0.180139106,0.685324292,0.358785718,0.226573063,0.578115541,0.495054183,0.372710185,0.009596701,0.375241123,0.1957183,0.335966406,0.379923559,0.300468744,0.091948668,0.620745953,0.263356244,0.389609951,0.448740177,0.38505921,0.215439152,0.218602524,0.183241758,0.36298951,0.274747445,0.547998744,0.40021996,0.320179124,0.105895806,0.303297469,0.331259712
15,0.885306318,0.875171402,0.998130117,0.400307827,1,0.68766755,1,0.710570633,0.890666158,0.596905503,0.77299822,0.49376877,0.703377901,0.836457037,0.69547139,0.625763231,0.79022075,0.712582455,0.792701974,0.962945254,0.468111312,0.252338166,0.612739492,0.532328177,0.354537652,0.672224102,0.588890631,0.433823289,0.293239411,0.928275587,0.150120085,0.740430296,0.695445017,0.274953189,0.546175817,0.773849596,0.825812446,0.856015584,0.549562671,0.814114359,0.054212431,0.386484044,0.365213353,0.135259656,0.385588386,0.158901847,0.239193442,0.419573793,0.164948653,0.396054435,0.367226491,0.001729737,0.116624386,0.110677911,0.073045133,0.314818627,0.108677912,0.322383645,0.018586902,0.240395642,0.057997582,0.084673702,0.08653041,0.536802853
16,0.825049269,1,0.286594702,0.551963655,0.553533932,0.650187236,0.556639575,0.571773947,0.777432597,0.709777407,0.578611993,0.685862975,0.998280633,0.633368458,0.660793293,0.757667129,0.75137436,0.549771125,0.752857298,0.889677191,0.322142147,0.450536731,0.749146402,0.730302176,0.790651421,0.381305151,0.890775796,0.507194696,0.506028058,0.486004571,0.473607093,0.087495294,0.421431161,0.15422428,0.336180402,0.522342827,0.446022736,0.994139777,0.186381693,0.462472881,0.502017518,0.308744144,0.198264382,0.164598504,0.082995686,0.454991452,0.398602801,0.288958462,0.188715251,0.505268042,0.361548266,0.277320452,0.443652629,0.49663585,0.101799497,0.116398249,0.328635188,0.302407883,0.469859723,0.501633168,0.209434554,0,0.215759919,0.342268167
17,0.777505783,0.567154512,0.902511669,0.863330598,0.571798025,0.948785054,0.864890866,1,0.698707681,0.308358574,0.845194731,0.758023036,0.954054149,0.524819743,0.734083851,0.787485466,0.892434867,0.864941702,0.492195995,0.633936937,0.876869397,0.73080411,0.53115824,0.813344874,0.548192716,0.909029109,0.305978242,0.546313421,0.595973894,0.825700696,0.551439117,0.50874357,0.257730219,0.007135551,0.485119248,0.160061784,0.386404,0.067776675,0.403764726,0.338530443,0.415356055,0.414527737,0.263768482,0.075644261,0.420604035,0.280142489,0.244115172,0.088982543,0.268366401,0.562444292,0.522585883,0.111317882,0.185330691,0.189110577,0.37542136,0.170701403,0.488249086,0.541394174,0.393901625,0.163274831,0.278295719,0.220874399,0.309916889,0.104984156
18,0.831091918,1,0.97601318,0.707176182,0.709757964,0.706017501,0.892249614,0.581522256,0.513104392,0.700607097,0.717584008,0.928335542,0.826207984,0.7716316,0.47248731,0.622569105,0.588068724,0.484612668,0.926398565,0.91752516,0.674190144,0.697640519,0.613708765,0.644882603,0.355968723,0.497875935,0.654989607,0.593806862,0.849204772,0.231724155,0.864414875,0.853154623,0.211149947,0.71063455,0.178181323,0.650587829,0.261822789,0.266457764,0.426018533,0.401689734,0.760731219,0.499617256,0.106342632,0.547352126,0.182974638,0.219938,0.322148528,0.288935078,0.63603491,0.61165036,0.470611936,0.319987574,0.478278317,0.166365968,0.241895785,0.380813097,0.375577648,0.38686566,0.324659069,0.355724505,0,0.072353477,0.385161028,0.30256419
19,0.577765318,0.690540175,0.972871304,1,1,0.609129087,0.677982338,0.71704651,0.870827731,0.864447812,0.616098594,0.917299041,0.422602699,0.759736529,0.355815441,0.707469448,0.791614196,0.684631855,0.593568641,0.742425588,0.913977152,0.42714597,0.56992993,0.843917582,0.537683343,0.633417152,0.233924316,0.504791792,0.693518938,0.601711344,0.956228195,0.47179553,0.73184591,0.43262866,0.394824545,0.206319032,0.580645729,0.148691292,0.542231678,0.601819142,0.012443546,0.293116501,0.399322156,0.181695294,0.104702279,0.308991015,0.129332523,0.157685226,0.397971335,0.496128604,0.013317101,0.598597585,0.14029563,0.003082603,0.215705899,0.370394838,0.527911359,0.40377879,0.427991771,0.316603172,0.497604125,0.295482629,0,0.001463808
20,0.840634002,1,0.764883826,0.651881122,1,0.924238312,1,0.731295862,0.822771183,0.666964062,0.671445213,0.558938724,0.592194575,0.849998597,0.81576013,0.994086227,0.870989748,0.749318909,0.715061445,0.416955562,0.740609053,0.802008465,0.708338563,0.759042562,0.648256969,0.867380347,0.413965814,0.747202079,0.801561405,0.181551037,0.551548608,0.937843235,0.47985071,0.283220371,0.439971021,0.603777127,0.609248289,0.282433285,0.563643771,0.057709126,0.779315469,0.416442562,0.297837068,0.21350073,0.454390157,0.585927107,0.06968978,0.582962337,0.306418814,0.094048094,0.684022918,0.198009585,0.390375858,0.278946158,0.262476738,0.164698133,0.298787325,0.063227494,0.286980397,0.319428956,0.378250295,0.174008384,0.656335946,0
21,0.707963883,0.656105841,0.841222196,0.966047939,0.829790028,0.948204756,0.748439323,0.59440092,0.247490733,0.64578283,0.444590647,0.764996296,0.945569125,0.645346841,0.477929927,0.896747666,0.483169928,0.59702228,0.909632489,0.7615249,0.818915533,0.737527583,0.714725051,0.361409718,0.463978355,0.748284195,0.761752712,0.703498558,0.606584214,0.422887616,0.667625733,0.443521279,0.561809315,0.663390514,0.342596301,0.632245316,0.788670884,0.313601618,0.471979017,0.348777079,0.058859376,0.229197075,0.574851377,0.135597333,0.551945966,0.182823024,0.387261908,0.455524867,0.461475511,0.336652469,0.084708729,0.114362871,0.179916573,0.225245903,0.075319421,0.163404642,0.17771768,0.726914294,0,0.262035424,0.228707424,0.162057809,0.221580341,0.200637547
22,0.621305789,0.476432317,0.553599154,0.686605277,0.520540875,1,0.489273177,1,0.505626586,0.709110865,0.848663282,0.401665887,0.509182934,0.781911667,0.747515437,0.859793006,0.564787704,0.904237834,0.846694637,0.730534578,0.908101311,0.950299224,0.569646164,0.866677561,0.356602086,0.605584186,0.762723378,0.497165385,0.575824797,0.658233443,0.401811514,0.215639257,0.324635676,0.606562736,0.263440428,0.520894294,0.503303244,0.626292553,0.325859132,0.357438063,0.495256191,0.834447637,0.121613737,0.09389898,0.231727292,0.546659378,0.366968229,0.27131546,0.2820548,0.370969321,0.095986324,0.042133487,0.417500108,0.311710803,0.125011256,0.204160564,0.054719086,0.3263226,0.086985776,0.014678053,0.356476673,0.603031829,0.491001393,0.251172974
23,0.732557139,0.532655753,1,0.871122622,0.70264707,0.654803702,0.886293564,0.769500483,0.661996495,0.825944106,0.774603107,0.974122883,0.720475315,0.990596991,0.785814893,0.760472489,0.4074309,0.823433381,0.65507096,0.667681866,0.848700734,0.538338025,0.245724926,0.549427383,0.708182251,0.604792425,0.637800104,0.514089678,0.536655539,0.484795915,0.371738343,0.688508381,0.99053704,0.608580464,0.093084187,0.799144713,0.00699246,0.077051832,0.59870884,0.210053324,0.192112099,0.328506647,0.443276865,0.453432345,0.169907101,0.26880336,0.394012213,0.368030831,0.02778302,0.632129085,0.187611932,0.237589023,0.405873451,0.134522475,0.062825777,0.20811434,0.015409413,0.145503241,0,0,0.224387828,0.486896902,0,0.203800672
24,0.41933427,0.553626249,0.529391802,0.954025567,0.524050201,0.885549456,1,0.712138213,0.753873161,0.818424093,0.796529871,0.911971403,0.900060324,0.74187632,0.853430533,0.58618221,0.701371858,0.710791068,0.692526227,0.668420462,0.80249428,0.930485213,0.885866085,0.417342088,0.663155834,0.534271927,0.872253942,0.631542487,0.471903659,0.474368201,0.73050827,0.56570167,0.342464579,0.439579972,0.430004741,0.596336939,0.393406485,0.50936615,0.289008128,0.168990008,0.25123116,0.128530211,0.440775685,0.46165674,0.341869195,0.508085948,0.183722929,0.816957319,0.197843511,0.408695155,0.213342222,0.432653185,0.484676699,0.152942084,0.770968765,0.367328827,0,0.731916568,0.041766311,0.167513436,0.359622159,0.132657774,0,0.236911677
25,0.886778231,0.633875703,0.473274646,0.429333354,0.854062244,0.776108586,0.933067126,1,0.669412509,0.943226697,0.963845241,0.673143976,0.686842605,0.5912178,0.74708033,0.987314209,0.881630538,0.880341921,0.616227901,0.414506632,0.677522263,0.548133564,0.915254512,0.732795277,0.366719564,0.814575517,0.855876038,0.679244327,0.623871761,0.400226002,0.348556201,0.589495855,0.091476597,0.002237862,0.438404277,0.196603755,0.297498056,0.713610666,0.135465158,0.889710165,0.255766856,0.116404223,0.413419332,0.36020195,0.062632194,0.188470372,0.313137154,0.216540363,0.483087815,0.593814988,0.271385665,0.285645054,0.023762977,0.156667156,0.160757318,0.139849219,0.468020599,0.262997717,0.260484877,0,0.468523921,0.207313712,0.40014799,0
26,0.903066924,0.839704339,0.857436371,0.807934587,0.238280889,0.635982528,0.482631336,0.85968849,0.888111598,0.625974861,0.677197463,0.753892634,0.534957445,0.604113279,0.92285567,0.967567519,0.83345734,0.726239783,0.556969532,0.868569878,0.367946094,0.985180289,0.842738291,0.483662775,0.907235887,0.728501195,0.630755844,0.455964077,0.701152421,0.626108852,0.415659264,0.926363268,0.38795745,0.346387619,0.456940393,0.646207548,0.323822895,0.554975526,0.230513039,0.512166218,0.395122419,0.590931949,0.975804914,0.245407823,0.460014835,0.345546922,0.011958035,0.680672468,0.536664751,0.517538189,0.106753543,0.450441086,0.190318341,0.147952333,0.082829738,0.21729945,0.469157153,0.211018516,0.194387011,0.222313833,0.002402826,0.466359932,0.099534899,0.236309037
27,1,0.585275993,0.872276965,0.687071943,0.825473856,0.855277215,1,0.835692404,0.954075223,0.984351049,0.951613223,0.740344827,0.763429391,0.550629578,0.748852449,0.61081452,0.658659563,0.794286329,0.974117141,0.646871875,0.429732525,0.389221631,0.724082247,0.933220225,0.596631655,0.314272098,0.523928335,0.434880295,0.504384416,0.628520931,0.583002174,0.38826908,0.417897613,0.067401822,0.521749793,0.37751148,0.946243728,0.346011634,0.214675042,0.342031446,0.112308398,0.28199633,0.195680062,0.454878981,0.192168242,0.55422218,0.170696754,0.541121187,0.067110244,0.21161926,0.200876295,0.409699675,0.583110063,0.434828227,0.499570755,0.136346683,0.435636399,0.03944219,0.479850652,0.313513357,0.280887766,0.298867045,0.121811265,0.327205416
28,0.766815711,0.916386377,1,0.516997644,0.627751685,0.560848992,1,0.823113065,0.559566603,0.660455445,0.780517181,0.91767998,0.699620972,0.792397549,0.540025982,0.691721419,0.628540957,0.735651215,0.568707113,0.792686272,0.465786513,0.960793484,0.718494645,0.549457494,0.307856566,0.138306383,0.720122691,0.833234548,0.851497072,0.634575837,0.520875396,0.710753279,0.246447185,0.686031715,0.107145,0.165200932,0.291090583,0.63827533,0.674493155,0.184171859,0.14879075,0.014106628,0.186758448,0.166719904,0.410791148,0.067030279,0.2660346,0.26978018,0.654735681,0.270645492,0.594807746,0.387041651,0.099828362,0.460482096,0.310799005,0.455682169,0,0,0.401070108,0.539340696,0,0.518614701,0.266040056,0.148156865
29,0.587282674,0.683678315,1,0.600794294,0.743458717,0.676123437,0.831451726,0.78608839,0.968344159,0.733869262,0.677239791,0.493608237,0.808457598,0.633034017,0.602984921,0.478417904,0.417900358,0.983226208,0.848960552,0.687228647,0.82478908,0.896316129,0.805094964,0.701327901,0.709017987,0.248208351,0.32892371,0.498496104,0.272732984,0.626789258,0.356767625,0.367217111,0.174290038,0.281843832,0.353449886,0.528188221,0.186212242,0.610421791,0.185155202,0.216094795,0.403792982,0.464554487,0.66542794,0.243465855,0.523514555,0.171775056,0.71038046,0.506698953,0.748092652,0.313239912,0.17489087,0.007581695,0.418274962,0.548763043,0.008479686,0.105759783,0.041459644,0.056581946,0.251188443,0.339548623,0,0,0.270543561,0.457418169
30,0.667350739,0.342588165,1,0.682942775,0.808400903,1,0.767202912,0.683517669,0.701371709,0.927333402,0.700708662,0.531955691,0.616207453,0.579522141,0.715075008,0.469620859,0.999848102,0.735031411,0.534425264,0.916679649,0.603191042,0.590907579,0.67949535,0.500924309,0.707337492,0.777980966,0.60036785,0.469646336,0.463180416,0.655854319,0.220924604,0.331492375,0.070206581,0.554977141,0.708180574,0.541019038,0.317002522,0.66120453,0.486638784,0.315487464,0.483393988,0.102789184,0.157849594,0.491396385,0.193525661,0.006288246,0.41966447,0.529665429,0.471928869,0.262072882,0.096194309,0.020558831,0.010094722,0.142144138,0.342812913,0.686423684,0.305576557,0,0.332403076,0.19645372,0,0.658547682,0.36112418,0.186125822
31,0.677399919,0.614736052,0.975545938,0.724587844,0.823528962,0.8291477,0.985798792,0.46934881,0.871336885,0.627085931,0.572142238,0.536583424,0.776877115,0.588544281,0.504490777,0.817060031,0.932552083,0.514250052,0.864378378,0.616512933,0.438516424,0.821337985,0.615517389,0.911566323,0.316235384,0.710119533,0.324998595,0.746693196,0.413493184,0.566715974,0.365968885,0.612806441,0.231024034,0.169862146,0.285378517,0.85092486,0.214107622,0.38027208,0.180928637,0.572885525,0.212232733,0.217696626,0.089435121,0.366544973,0.443290987,0.364186433,0.084230595,0.146531644,0.289129431,0.356807155,0.167132106,0.618042394,0.361261764,0.07779485,0.183323555,0.01025907,0,0.05377343,0.215712737,0.364892662,0.154998825,0,0.186110906,0.984746302
32,1,1,0.903680745,0.936539696,0.814567659,1,0.661350838,0.611933972,0.443873249,0.414553192,0.979142269,0.618350756,0.897780754,0.642909048,0.823143409,0.777242308,0.544187211,0.681313886,0.344513629,0.817194368,0.303982554,0.848615579,0.99075676,0.863876191,0.402977633,0.590860368,0.562077593,0.853207874,0.425996777,0.31199176,0.486725091,0.54901869,0.219055652,0.063047107,0.631366936,0.669407889,0.501144437,0.477264819,0.586003165,0.045625585,0.423491004,0.081693767,0.171677144,0.559369819,0.125549308,0.543458527,0.164173132,0.062195288,0.12882377,0.36807563,0.031796093,0.159240084,0.255485529,0.52885551,0.610525728,0.690906592,0.066934037,0,0.066950127,0.325572458,0.426449517,0.128524524,0.430961252,0.239308532
33,0.707503706,0.704107687,0.796245046,0.846628401,0.652722173,1,1,0.736675663,0.7438929,0.72736103,0.993306574,0.731334473,0.970857913,0.843119751,0.683709067,0.416233967,0.49675791,0.513945174,0.757165584,0.886529375,0.668244212,0.904905954,0.81807591,0.694257106,0.772360977,0.593003443,0.347155751,0.731816672,0.759122002,0.488119108,0.982750803,0.702018953,0.453602946,0.233767489,0.335435973,0.117025182,0.58260627,0.377667341,0.45384731,0.605619567,0.067440533,0.577908589,0.407824383,0.116279987,0.263252799,0.515546797,0.200077276,0.322225451,0.627726241,0.359374792,0.257008208,0.36084163,0.678930705,0.324496687,0.260310874,0.089371758,0.306889409,0,0.292762449,0.067010799,0.188359349,0.367174863,0.148767263,0.537666597
34,0.665070319,1,0.744940181,0.822450294,1,0.758020868,0.528883834,0.669528604,0.657621755,0.79851366,0.516297188,0.824228237,0.364202626,0.546181679,0.773338527,0.43737389,0.642844094,0.34038854,0.522615103,0.583132523,0.395465579,0.355642324,0.80740748,0.80836172,0.650089865,0.36655267,0.297855092,0.843643127,0.521965328,0.473806306,0.552420192,0.622227852,0.327349001,0.345583786,0.254444837,0.163697779,0.280542195,0.187217283,0.443798971,0.46027171,0.264058239,0.521775663,0.23816899,0.443306102,0.199947757,0.105622538,0.360573911,0.275574158,0.437677074,0.334003959,0.177702716,0.328535179,0.359735719,0.123043677,0.08030159,0.647167964,0.125159164,0.389793375,0.252416251,0.285434296,0.119824257,0,0,0.579128108
